district,district_reported,crop,year,season_group,yield_t_ha,yield_original,yield_unit,source_report,source_page,source_period,NDVI_mean,NDVI_max,EVI_mean,EVI_max,NDRE_mean,NDRE_max,GNDVI_mean,GNDVI_max,NDWI_mean,NDWI_max,VV_mean,VV_max,VH_mean,VH_max,VV_VH_mean,VV_VH_max,rainfall_total_mm,mean_temperature_C,minimum_temperature_C,maximum_temperature_C,relative_humidity_mean,solar_radiation_MJ_m2,clay_pct,sand_pct,soil_organic_carbon_g_kg,soil_pH,soil_water_content_pct
Bahawalnagar,Bahawalnagar,Cotton,2016-17,Kharif,0.770983,7.8,maund/acre,2016-17(1).pdf,7,current,0.3105433566167017,0.5949940284462705,0.2106491370990978,0.4469244546787246,0.1925149223129223,0.4068752953837375,0.3821398071363018,0.5996906424649456,-0.3821398071363018,-0.200640475586574,-10.875476533572618,-7.667038028484201,-18.250695627842983,-14.822284910192836,7.375219094270364,11.164671756466111,214.599410060398,31.114734525452118,25.348988523942804,36.95684691379135,48.21884893522861,4499.118052968593,22.11870410270358,49.06349018520203,6.354501521522949,7.951007997333943,16.890878257760217
Bahawalpur,Bahawalpur,Cotton,2016-17,Kharif,0.870816,8.81,maund/acre,2016-17(1).pdf,7,current,0.2736868559753005,0.472602069545482,0.1921821961022228,0.3655157125466058,0.167219447024777,0.3114463036850961,0.3575508289786032,0.503679123550516,-0.3575508289786032,-0.2127331634981596,-12.159942986507524,-9.850263741836091,-19.78789098478192,-17.24884504189299,7.627947998274389,10.459854375901172,149.4751445548069,32.10264722164394,26.077771555609303,37.866381701412905,44.03434243319582,4604.305844821481,17.192746641475665,63.69884000231042,3.066501846822126,8.08089996218874,6.771223062249953
Bhakkar,Bhakkar,Cotton,2016-17,Kharif,0.593064,6.0,maund/acre,2016-17(1).pdf,7,current,0.2678869898699539,0.458466658832548,0.1901321984251875,0.3376639400255244,0.1647224343431517,0.297147585719866,0.3307757231276039,0.4921876229463983,-0.3307757231276039,-0.1773152339484173,-12.486863064335108,-9.660663022041566,-19.7163583153637,-16.457103458436094,7.229495251028622,10.367265620557964,351.53155112160283,30.27859131420015,24.490396217803426,35.72066565927426,53.628662315558415,4426.792322425065,25.63160359057615,45.53904927822017,3.8457329597097214,8.06959084157948,18.819214794287902
Chiniot,Chiniot,Cotton,2016-17,Kharif,0.563411,5.7,maund/acre,2016-17(1).pdf,7,current,0.3774344879991502,0.6592606458287836,0.2505417427707003,0.466732161670165,0.2473698343672717,0.456652767117972,0.4199653391272956,0.6246042958660195,-0.4199653391272956,-0.2531738132814708,-10.774521507088464,-7.566675618493296,-17.797486452663343,-14.443425348021544,7.022964945574896,10.417482717123036,296.5838668146408,30.18153119051492,24.50434578076333,35.73508650781572,53.15519522156863,4353.733331102661,22.72814039618662,35.30343277667729,7.8960926228494355,7.877132958438076,21.451442596406565
Dera Ghazi Khan,D.G. Khan,Cotton,2016-17,Kharif,1.735701,17.56,maund/acre,2016-17(1).pdf,7,current,0.3173402208010046,0.4435758456486115,0.2170287984831658,0.3110153179362934,0.1951070728503406,0.2850355947615042,0.3816373626626012,0.5097140482672012,-0.3816373626626012,-0.2436162515600182,-11.23043303574288,-11.230342165096172,-19.17390248086142,-19.173798675060457,7.943469445118572,7.943593913409054,266.96630531819113,29.548441987072238,24.082433979938287,34.73043937475282,51.02313840405365,4518.250852121416,25.527653767771543,46.5829032522787,7.373084986899171,7.906591022216554,19.7663291684013
Faisalabad,Faisalabad,Cotton,2016-17,Kharif,0.543642,5.5,maund/acre,2016-17(1).pdf,7,current,0.3689953158696555,0.6240407033671901,0.2465097195647985,0.449601763493441,0.2409563682314411,0.4316584517792906,0.4173491841442882,0.599995744819376,-0.4173491841442882,-0.2580913059977378,-10.75021718684504,-7.845014017105193,-17.603259081730886,-14.54805845743806,6.853041894885856,10.014911359153029,296.1495450659796,30.043676465227755,24.47480039623904,35.549142072657084,54.25539503346772,4377.182502000766,22.024077833966064,36.36885306857226,6.953568654189313,7.917622652362517,20.696755361750604
Jhang,Jhang,Cotton,2016-17,Kharif,1.295845,13.11,maund/acre,2016-17(1).pdf,7,current,0.3464403146109612,0.5999795786877927,0.2284142932385174,0.4180232189342001,0.2196189237802056,0.4033580227422763,0.4095490438921835,0.5945054439332843,-0.4095490438921835,-0.2609905887719344,-11.031247343247395,-8.102693037538423,-18.078132225576905,-14.95395993024223,7.046884882329525,10.326779516024018,303.6171779949445,30.6218204327254,25.042200269819936,36.07515465193831,52.27582081687311,4445.629470828276,23.65182527947516,39.0487832927443,19.239098172034044,7.87153476162931,19.996877511508462
Jhelum,Jhelum,Cotton,2016-17,Kharif,0.513989,5.2,maund/acre,2016-17(1).pdf,7,current,0.2717408306772453,0.4071904694510995,0.1663751540670283,0.2605754564683387,0.1637669810905353,0.2557923225996942,0.3762526942042702,0.4678729821209064,-0.3762526942042702,-0.2904761555427382,-11.703888873051868,-9.094911833422342,-18.57231303062812,-15.882859376167966,6.86842415757632,9.603821911357125,450.6348523093104,27.80981447281287,22.035484676755367,33.51012989628897,57.94881729279712,4267.430447425605,28.50895977572258,38.90203689092855,10.126246504418793,7.560819267363601,24.941683667990986
Kasur,Kasur,Cotton,2016-17,Kharif,0.735399,7.44,maund/acre,2016-17(1).pdf,7,current,0.3812580989558315,0.6786472309842992,0.2608520105572499,0.4982142096358296,0.2448686124888127,0.4678962000078012,0.4176593972283938,0.6344558102138363,-0.4176593972283938,-0.2335191372900832,-9.944565263020978,-7.005233998499264,-17.400430981082035,-14.33569446432046,7.455865718061037,10.844818918984194,340.3240048750138,29.514985950986983,24.01618577459796,35.03386842768309,56.6329343505904,4311.048981409094,22.308565977044726,35.52332212062098,7.3382064477110305,7.854819261245139,21.421691915340016
Khanewal,Khanewal,Cotton,2016-17,Kharif,0.691908,7.0,maund/acre,2016-17(1).pdf,7,current,0.350211109219597,0.6246781779796632,0.2376987143494359,0.4609385208812063,0.2188696842118284,0.4198009530247511,0.4111183588287754,0.6085610391680364,-0.4111183588287754,-0.2438310819649962,-10.055019450470288,-7.050986126632657,-17.289988163982596,-14.055873518740055,7.2349687135123055,11.186600757579974,254.30989446494607,30.933431511581404,25.29006364666979,36.5082688914583,51.0720729603726,4501.558805553933,23.503567755090092,38.05649405155875,19.786678780291243,7.633119598678892,21.627413834124713
